"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"7130171643","7087682458","15119252","2009-12-28 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@odedhb It uses mediawiki, with mod_rewrite all pointing to same codebase. Script interprets wiki name and loads corresponding db","","","",""
"7130239256","","","2009-12-28 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","http://EditThis.info (the free wiki hosting system) now allows you manage the group rights for wikis. Lock down a wiki for small groups","","","",""
"7139173429","","","2009-12-28 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Just watched Avatar and loved it (I had no intention of liking it)","","","",""
"6934484700","","","2009-12-22 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","http://is.gd/5xtXl - Fun with javascript","","","",""
"6902719475","","","2009-12-21 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","A very hard to find bug: http://is.gd/5ws5t","","","",""
"6525270438","","","2009-12-10 00:00:00 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","Re: Constant sail is dead!: Yep, and I'm almost back into first. http://bit.ly/78o7Gd @constantsail","","","",""
"6538672862","","","2009-12-10 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Submit and vote on the best .emacs modifications http://is.gd/5ijmx","","","",""
"6539127943","","","2009-12-10 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Webisodes is a place to post links to and vote up web based video series. http://webisodes.org","","","",""
"6546863332","","","2009-12-10 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Switching to Chrome. FF too slow and Chrome's debugger is just as good as Firebug.","","","",""
"6482983634","","","2009-12-09 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","How to evenly split a bill with a lot of people frequently - The situation: Every day many of your co-workers... http://tumblr.com/xk34jzbba","","","",""
"6506540247","","","2009-12-09 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Have google wave? Feel free to add me. I have a gmail account called robkohr.","","","",""
"6468877365","","","2009-12-08 00:00:00 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","Re: Constant sail is dead!: I'm still playing, and Gort is too. http://bit.ly/6G1L1w @constantsail","","","",""
"6478277689","","","2009-12-08 00:00:00 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","Re: Constant sail is dead!: Sheuy did you restart or something? http://bit.ly/6SWyc4 @constantsail","","","",""
"6437607287","","","2009-12-07 00:00:00 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","Re: Constant sail is dead!: No it is not dead. A new version of it is in development. You could  say ... http://bit.ly/4pb3No @constantsail","","","",""
"6439798099","","","2009-12-07 00:00:00 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","Re: Constant sail is dead!: 'E says 'e's not dead yet! http://bit.ly/8pft1V @constantsail","","","",""
"6323406921","","","2009-12-04 00:00:00 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","del.icio.us: bodytag - site is art with html,:  http://bit.ly/53Vr6L","","","",""
"6310341135","","","2009-12-03 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I just nominated Oodle for the Best Internet Application Crunchie! Nominate here: http://is.gd/5aqIk #crunchies","","","",""
"6277569163","","","2009-12-02 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TechShop great deal (I just bought 1) For $40 get one month + 2 classes http://is.gd/5aiMh","","","",""
"6278577519","","","2009-12-02 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I just nominated Facebook Marketplace for the Best Social Network App Crunchie! Nominate here: http://is.gd/5akMU #crunchies","","","",""
"6278668173","","","2009-12-02 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I just nominated weewar for the Best Time Sink Application Crunchie! Nominate here: http://is.gd/5al2T #crunchies","","","",""
"6243708283","","","2009-12-01 00:00:00 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","del.icio.us: LAZEROIDS! - Massive multiplayer asteroids game:  http://bit.ly/6CEqOQ","","","",""
"6245140046","","","2009-12-01 00:00:00 +0000","<a href=""http://www.pandora.com"" rel=""nofollow"">Pandora (Prod)</a>","I'm listening to Garage Rock Channel (http://bit.ly/68T1px) #pandora","","","",""
"5664389257","","","2009-11-13 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Funny ... @spolsky StackOverflow discovers the rare --&gt; operator in C++. http://stackoverflow.com/questions/1642028","","","",""
"5665290437","","","2009-11-13 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Listing to Rutgers/Livingston college radio http://is.gd/4TLEe","","","",""
"5666020823","","","2009-11-13 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","http://is.gd/4TMBs &lt;- awesome cover band","","","",""
"5688605563","","","2009-11-13 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","emacs recursive find&grep in project directory - I do a lot of work in a set of directories in a project in... http://tumblr.com/xk340kawy","","","",""
"5694176922","","","2009-11-13 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Fun orbital sandbox (play with planets) http://www.lri.fr/~dragice/gravity/","","","",""
"5603838415","","","2009-11-11 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Things to know about coffee http://theoatmeal.com/comics/coffee","","","",""
"5601287961","5292618653","5882132","2009-11-10 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@artseejodee No problem, thanks for giving the unfollow buttons a try.","","","",""
"5561365181","","","2009-11-09 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","http://boxee.tv/ Media center: ""Online TV, movies, music, and photos - made easy for couch potatoes."" Add my user, RobKohr as a friend.","","","",""
"5492935643","","","2009-11-06 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","My Birthday wishlist : http://www.amazon.com/wishlist/3LM9WZUDL8OQV (my birthday is Nov 15th :)","","","",""
"5394925796","","","2009-11-03 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","US - The Saudi Arabia of Coal - These are some random facts from an FT article I read today. 50% of... http://tumblr.com/xk33u3kst","","","",""
"5396462845","","","2009-11-03 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AMC is releasing the Prisoner on my birthday. How nice of them :)
http://bit.ly/STbaJ","","","",""
"5292310007","","","2009-10-30 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","twitter unfollow buttons userscript is about to hit 500 downloads! http://userscripts.org/scripts/show/47537 (greasemonkey)","","","",""
"5214242774","","","2009-10-27 00:00:00 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","del.icio.us: Classic Cinema Online - Home http://bit.ly/3GoLGC","","","",""
"4751009800","4071892787","15081235","2009-10-10 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@dothewww Thank you. I haven't gotten to do a write up of how it was built yet. Maybe eventually....","","","",""
"4713175956","","","2009-10-08 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Speedcrunch - Speedcrunch is a great calculator application that is available on all major OSes It works very... http://tumblr.com/xk33fnowi","","","",""
